id,title,body,images,images:title
219,"It's TRUE, you have something to share with the WCET Community","<p><strong>It's TRUE, you have something to share with the WCET Community. </strong>Submit your proposal for the <a href=""http://wcetconference.wiche.edu/"">WCET Annual Meeting</a>. Sessions are recognized for the diversity of perspectives, the bold approaches addressed, and the engaging, conversational format among speakers and the audience. WCET presenters include higher education professionals who are leading change and innovation at their organizations. <a href=""http://wcetconference.wiche.edu/submit-proposal"">Submit today!</a></p>",264,
220,WOW Us!,"<p><strong>WOW Us! </strong>&nbsp;The 2015 WCET Outstanding Work Award (WOW) is <a href=""/initiatives/wcet-awards"">open for nominations</a> through June 1st.&nbsp; WOW recognizes outstanding efforts by member institutions and organizations in applying an innovative, technology-based solution to a challenging educational need.&nbsp; What work will you nominate?</p>",265,
221,Busting the Myth: Distance Education Enrollment,"<p><strong>Busting the Myth: Distance Education Enrollment. </strong>WCET has produced an <a href=""/initiatives/research/busting-the-myth-distance-education"" target=""_blank"">infographic </a>utilizing the 2013 Fall IPEDS Enrollment numbers. This quick overview shows distance education enrollment patterns might not be what popular opinion thinks they are. We encourage you to share this with your networks!</p> <p><a href=""https://wcetblog.wordpress.com/2015/03/05/ipedssectors/"" target=""_blank"">Check out the Frontiers blog</a> for a deeper discussion of these data.</p>",266,
222,Are Smart Devices and Gadgets Smarter Than Teachers?,"<p><strong>Are Smart Devices and Gadgets Smarter Than Teachers. </strong>This webcast will highlight some of the latest innovations in emerging technologies in terms of the impact in teaching and learning. Participants will receive information regarding quality standards for determining the educational value and best use practices. <a href=""/events/webcasts/smart-devices-smarter-than-teachers"">Access the archived presentation now!</a></p>",267,
223,Register for Adaptive Learning Leadership Summit,"<p><strong>Register for Adaptive Learning Leadership Summit. </strong>On June 10-11, 2015, WCET will hold the Leadership Summit, &quot;Adaptive Learning in Higher Ed: Improving Outcomes Dynamically&quot; in Santa Fe, New Mexico where institutional leaders and corporate innovators will convene to explore the challenges, benefits, and tools related to adaptive learning in higher education. <a href=""/events/summits/adaptive-learning-2015"">Learn more</a> and <a href=""https://www.regonline.com/Register/Checkin.aspx?EventID=1663144"" target=""_blank"">register </a>today! Photo Credit: <a href=""https://www.flickr.com/photos/jimnix/6284941172/"" target=""_blank"">Jim Nix</a></p>",263,
224,What's New at Creative Commons?,"<p><strong>What's New at Creative Commons? </strong>You may be familiar with <a href=""http://creativecommons.org/"" target=""_blank"">Creative Commons</a>, a nonprofit organization that enables the sharing and use of creativity and knowledge through free legal tools, but do you know that they are involved with numerous initiatives that are positively impacting higher education and Open Education Resource Adoption? <a href=""/events/webcasts/creative-commons"">Access the archived presentation now!</a></p>",268,
225,"WCET Partners with UPCEA, OLC on Teacher Prep Regulation Response","<p><strong>WCET Partners with UPCEA, OLC on Teacher Prep Regulation Response. </strong>WCET has teamed up with the Online Learning Consortium (OLC) and UPCEA to submit a letter expressing our concerns and highlighting recommendations regarding the proposed Teacher Preparation Regulations from the Department of Education and their potential effect on distance learning teacher preparation programs. <a href=""/sites/default/files/docs/resources/OLC-UPCEA-WCET-TeacherPrepComment15.pdf"">Read the full letter</a>.</p>",269,
226,Using Tech to Foster Collaboration,"<p><strong>Using Tech to Foster Collaboration.&nbsp;</strong>How we think about the value of collaborative skills has undergone dramatic change, as both technology and the workplace (and workplace expectations) have evolved. Educators, parents, and learners say that collaborative skills are important, even as employers are asking for graduates who are effective collaborators in the workplace. But how well are we doing as a community in promoting it -- whether via social interactions or use of technologies? View information from this webcast <a href=""/events/webcasts/using-tech-foster-collaboration-in-education"">here</a>.</p>",270,
227,Hangout with WCET and Anya Kamenetz,"<p><strong>Hangout with WCET and Anya Kamenetz. </strong>Join us February 5 at 10 AM MST for a Google Hangout on Air with Anya Kamenetz, who keynoted the 2014 Annual Meeting, to discuss her new book The Test: Why Our Schools are Obsessed with Standardized Testing&ndash;But You Don&rsquo;t Have to Be. View the <a href=""/events/webcasts/the-test-google-hangout-with-anya-kamenetz"">Hangout</a> and participate in the conversation via Twitter, #WCETHangout. <a href=""https://plus.google.com/events/cv9uq4avmi6eb343avna8ha42cg"">RSVP today</a>.</p>",271,
228,Take a Trip Down Memory Lane,"<p><strong>Take a Trip Down Memory Lane. </strong>It was great seeing many of our members and friends in Portland, OR this past November for the <a href=""http://wcetconference.wiche.edu/"">WCET 26th Annual Meeting</a>. Take a moment to <a href=""/events/annual-meeting/photos-2014"">check out the photos</a> from this inspiring gathering of colleagues and friends. Be sure to mark your calendar for the WCET 27th Annual Meeting November 11-13, 2015 in Denver, CO.</p>",272,
